도서명,저자 정보,출판사,평점,회원리뷰수
지옥변,아쿠타가와 류노스케 저/양윤옥 역,시공사,8.9,16
붉은 손가락,히가시노 게이고 저/양윤옥 역,현대문학,9.8,51
열쇠,다니자키 준이치로 저/김효순 역,민음사,8.7,49
검은 집,기시 유스케 저,창해(새우와 고래),8.9,169
세계의 끝과 하드보일드 원더랜드 1,무라카미 하루키 저/김난주 역,민음사,9.6,44
1Q84 BOOK 세트,무라카미 하루키 저/양윤옥 역,문학동네,9.2,45
하쿠바산장 살인사건,히가시노 게이고 저/민경욱 역,알에이치코리아(RHK),8.6,2083
백야행 1,히가시노 게이고 저/김난주 역,재인,9.8,348
봄눈,"미시마 유키오 저/윤상인,손혜경 역",민음사,9.9,48
졸업,히가시노 게이고 저/양윤옥 역,현대문학,9.1,56
밤은 눈을 감지 않는다,메리 쿠비카 저/신솔잎 역,해피북스투유,9.8,43
열린 어둠,렌죠 미키히코 저/양윤옥 역,모모,9.4,116
세계의 끝과 하드보일드 원더랜드 2,무라카미 하루키 저/김난주 역,민음사,9.4,40
편지,히가시노 게이고 저/권일영 역,알에이치코리아(RHK),9.4,193
블랙 쇼맨과 운명의 바퀴,히가시노 게이고 저/최고은 역,알에이치코리아(RHK),8.6,60
벚꽃 지는 계절에 그대를 그리워하네,우타노 쇼고 저/김성기 역,한스미디어,9.2,190
세뇌 살인,혼다 테쓰야 저/김윤수 역,북로드,9.0,31
색채가 없는 다자키 쓰쿠루와 그가 순례를 떠난 해,무라카미 하루키 저/양억관 역,민음사,8.6,298
파리 마카롱 수수께끼,요네자와 호노부 저/김선영 역,엘릭시르,9.6,70
백광,렌죠 미키히코 저/양윤옥 역,모모,9.2,1550
너와 만날 수 있었던 4%의 기적,히로세 미이 저/주승현 역,제우미디어,9.2,987
기린의 날개,히가시노 게이고 저/김난주 역,재인,9.0,473
[예스리커버] 녹나무의 파수꾼,히가시노 게이고 저/양윤옥 역,소미미디어,9.6,25
날씨의 아이,신카이 마코토 저/민경욱 역,대원씨아이(단행)(대원키즈),9.8,282
화차,미야베 미유키 저/이영미 역,문학동네,9.0,148
라디오 체조,오쿠다 히데오 저/이영미 역,은행나무,9.6,67
대망 1세트,야마오카 소하치 저,동서문화사,9.7,92
노르웨이의 숲,무라카미 하루키 저/양억관 역,민음사,9.2,149
내가 대답하는 너의 수수께끼,가미시로 교스케 저/이연승 역,블루홀6,9.8,34
둘 중 누군가 그녀를 죽였다,히가시노 게이고 저/양윤옥 역,현대문학,9.7,37
정욕(正欲),아사이 료 저/민경욱 역,리드비(READbie),9.4,117
대망 1,야마오카 소하치 저,동서문화사,8.9,19
나는 너에게 10년 치의 『    』을 전하고 싶어,아마노 아타루 저/구자용 역,제우미디어,9.2,508
"국경의 남쪽, 태양의 서쪽",무라카미 하루키 저/임홍빈 역,문학사상,9.6,13
은하철도의 밤,미야자와 겐지 저/오다윤 역,세나북스,9.7,35
녹나무의 파수꾼,히가시노 게이고 저/양윤옥 역,소미미디어,9.2,387
빙과,요네자와 호노부 저/권영주 역,엘릭시르,9.2,168
환상의 빛,미야모토 테루 저/송태욱 역,바다출판사,9.0,139
한없이 투명에 가까운 블루,무라카미 류 저/장정일 해설/양억관 역,이상북스,8.7,15
매스커레이드 게임,히가시노 게이고 저/양윤옥 역,현대문학,9.4,97
52헤르츠 고래들,마치다 소노코 저/전화영 역,직선과곡선,9.2,13
아침이 온다,츠지무라 미즈키 저/이정민 역,몽실북스,9.4,88
초판본 오만과 편견 (초호화 금장 에디션),제인 오스틴 저/김유미 역,더스토리,9.8,7
[예스리커버] 여름은 오래 그곳에 남아,마쓰이에 마사시 저/김춘미 역,비채,8.8,28
"아픈 것아, 아픈 것아, 날아가라",미아키 스가루 저 / E9L 그림 / 현정수 역,영상출판미디어,9.2,99
TV피플,무라카미 하루키 저/홍은주 역,비채,9.2,23
우중괴담,미쓰다 신조 저/현정수 역,북로드,9.4,94
바람이 강하게 불고 있다,미우라 시온 저/임희선 역,청미래,9.7,484
공중그네,오쿠다 히데오 저/이영미 역,은행나무,8.6,631
기암관의 살인,다카노 유시 저/송현정 역,허밍북스,9.4,31
도련님,나쓰메 소세키 저,향연,9.6,4
편의점 인간,무라타 사야카 저/김석희 역,살림출판사,8.6,621
그리움을 요리하는 심야식당,나카무라 사츠키 저/남소현 역,북플라자,9.8,10
두 사람의 거리 추정,요네자와 호노부 저/권영주 역,엘릭시르,9.5,139
달팽이 식당,오가와 이토 저/권남희 역,알에이치코리아(RHK),9.2,131
작별의 건너편 2,시미즈 하루키 저/김지연 역,모모,9.5,10
레이크사이드,히가시노 게이고 저/민경욱 역,하빌리스,8.6,66
아웃 1,기리노 나쓰오 저/김수현 역,황금가지,8.8,36
도련님,나쓰메 소세키 저/송태욱 역,현암사,9.4,141
모방범 1,미야베 미유키 저/양억관 역,문학동네,9.5,90
모래의 여자,아베 고보 저,민음사,9.1,136
우리는 모두 집으로 돌아간다,마쓰이에 마사시 저/송태욱 역,비채,9.1,70
